 Mortalidade - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Faixa Etária: 1 a 4 anos
Período:1996-2012
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"Total"
"150570 Ponta de Pedras";2;2;2;-;2;1;3;-;4;3;3;1;-;1;-;1;-;25
"150580 Portel";8;7;6;3;5;2;7;7;9;7;5;7;3;7;11;6;11;111
"150590 Porto de Moz";3;4;4;3;4;4;4;2;7;7;3;1;6;1;5;2;4;64
"150600 Prainha";5;4;4;4;4;4;2;2;1;4;2;-;2;2;1;1;2;44
"150610 Primavera";1;-;1;2;1;1;1;1;-;1;-;-;-;1;1;1;-;12
"150611 Quatipuru";-;-;2;1;-;1;-;-;-;-;-;-;1;-;-;-;-;5
"150613 Redenção";6;13;16;7;11;11;11;6;10;6;11;6;11;6;5;5;5;146
"150616 Rio Maria";4;1;6;2;1;3;1;-;3;1;1;1;1;-;1;1;1;28
"150618 Rondon do Pará";-;1;2;2;2;13;7;-;7;4;3;8;2;4;3;3;-;61
"150619 Rurópolis";-;1;1;-;2;-;1;2;3;4;4;2;1;-;-;1;1;23
"150620 Salinópolis";13;3;5;4;5;4;2;1;2;3;3;1;5;3;-;3;1;58
"150630 Salvaterra";2;2;2;1;-;2;2;-;-;1;4;2;2;-;1;2;-;23
"150635 Santa Bárbara do Pará";1;1;1;1;-;-;2;2;1;1;-;4;1;-;2;2;2;21
"150640 Santa Cruz do Arari";1;2;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;7
"150650 Santa Izabel do Pará";10;6;11;1;5;6;6;5;7;5;3;3;-;1;7;4;5;85
"150655 Santa Luzia do Pará";1;-;3;5;3;3;1;2;-;2;-;3;2;1;1;-;1;28
"150658 Santa Maria das Barreiras";-;1;-;2;-;-;-;2;2;-;2;3;1;1;1;3;3;21
"150660 Santa Maria do Pará";-;2;1;1;1;1;4;1;1;1;2;-;2;1;1;1;1;21
"150670 Santana do Araguaia";-;-;-;-;1;2;1;2;7;4;2;3;2;7;3;1;1;36
"150680 Santarém";28;30;24;22;19;23;19;28;22;19;22;28;23;22;17;23;9;378
"150690 Santarém Novo";1;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;5
"150700 Santo Antônio do Tauá";1;2;-;-;1;-;2;3;4;1;2;2;3;2;1;2;2;28
"150710 São Caetano de Odivelas";-;1;-;1;1;-;-;-;1;-;-;1;-;-;4;-;-;9
"150715 São Domingos do Araguaia";1;2;-;4;3;4;-;3;2;1;-;4;3;3;-;-;2;32
"150720 São Domingos do Capim";3;-;1;3;4;1;1;5;2;4;3;3;3;4;4;1;4;46
"150730 São Félix do Xingu";3;1;2;3;3;7;3;7;2;4;4;5;2;2;8;-;5;61
"150740 São Francisco do Pará";-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;2;-;5
"150745 São Geraldo do Araguaia";1;1;1;4;5;7;-;3;3;-;-;2;-;2;1;1;1;32
"150746 São João da Ponta";-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;4
"150747 São João de Pirabas";-;1;-;1;-;-;-;-;-;1;1;-;1;1;2;1;1;10
